,Method,Scene,Length
0,R3T,0,0.45059100125554935
1,R3T,0,0.6376828727021919
2,R3T,0,0.5235499349485188
3,R3T,0,0.5644641455148942
4,R3T,0,0.6697466067263268
5,R3T,0,0.5196755539272515
6,R3T,0,2.0
7,R3T,0,0.4742554457946053
8,R3T,0,0.5975679456947188
9,R3T,0,0.6780555730040712
10,R3T,0,0.5105377362924115
11,R3T,0,0.6100266929541527
12,R3T,0,0.5357741296851085
13,R3T,0,2.0
14,R3T,0,0.6392997431025624
15,R3T,0,0.7611986821176426
16,R3T,0,0.6877979448655479
17,R3T,0,0.4505957099313791
18,R3T,0,0.4823532956092942
19,R3T,0,0.49939213114644676
20,R3T,0,0.48502531735292864
21,R3T,0,0.4898933083176802
22,R3T,0,0.5790481092833566
23,R3T,0,2.0
24,R3T,0,0.5886476769038842
25,R3T,0,0.5923592443615625
26,R3T,0,0.6544826219356515
27,R3T,0,2.0
28,R3T,0,0.47318000408620153
29,R3T,0,0.5959484779580053
30,R3T,1,0.657854753398446
31,R3T,1,0.5838647623281125
32,R3T,1,0.6905906574290782
33,R3T,1,2.0
34,R3T,1,0.9345162978169471
35,R3T,1,2.0
36,R3T,1,0.7623811103341815
37,R3T,1,0.737540714783018
38,R3T,1,0.5942149884302296
39,R3T,1,2.0
40,R3T,1,0.7433437048809377
41,R3T,1,0.6234107993499061
42,R3T,1,0.7663358327010634
43,R3T,1,0.6548516083664591
44,R3T,1,0.7848877333831604
45,R3T,1,0.6370966654687258
46,R3T,1,0.6141215463673427
47,R3T,1,0.7434613923510649
48,R3T,1,2.0
49,R3T,1,0.6430814806790356
50,R3T,1,0.698961592271461
51,R3T,1,0.6024521059143642
52,R3T,1,0.8109955761010073
53,R3T,1,0.6979158156939979
54,R3T,1,0.7525759523738624
55,R3T,1,2.0
56,R3T,1,0.6989080290153289
57,R3T,1,0.6840577236921271
58,R3T,1,0.7762088121167785
59,R3T,1,0.6631065756708153
60,R3T,2,0.6368440422719
61,R3T,2,0.4561586958007509
62,R3T,2,0.6313315763548827
63,R3T,2,0.5710439541794391
64,R3T,2,0.6117027042008815
65,R3T,2,0.5028039304825246
66,R3T,2,0.5991090352757489
67,R3T,2,0.5716743026157355
68,R3T,2,0.4952224632802403
69,R3T,2,0.5582725663510525
70,R3T,2,0.490280093764094
71,R3T,2,0.520928428449234
72,R3T,2,0.6055902656543135
73,R3T,2,0.5378793640157569
74,R3T,2,0.5653638354120356
75,R3T,2,0.49387012746408543
76,R3T,2,0.6314061371281267
77,R3T,2,0.52829082542797
78,R3T,2,0.4812328312674244
79,R3T,2,0.4650179762646965
80,R3T,2,0.5147426354087148
81,R3T,2,2.0
82,R3T,2,0.5303344951853762
83,R3T,2,0.6741618996083713
84,R3T,2,0.542714395489671
85,R3T,2,0.6453677517035745
86,R3T,2,0.4993984968887228
87,R3T,2,0.6270019066060836
88,R3T,2,0.47170682274858716
89,R3T,2,0.4914920816920293
90,R3T,3,0.6734051209547888
91,R3T,3,0.6015300672530696
92,R3T,3,0.7182253290730886
93,R3T,3,0.7586684202035375
94,R3T,3,0.6476937729591028
95,R3T,3,0.777488631630921
96,R3T,3,0.8220279743721196
97,R3T,3,2.0
98,R3T,3,0.9147738668213853
99,R3T,3,0.7311430105361012
100,R3T,3,0.762546332022201
101,R3T,3,0.9130592261997669
102,R3T,3,0.6110757204742444
103,R3T,3,0.6836841785160584
104,R3T,3,0.7274301809135996
105,R3T,3,0.6827069357212405
106,R3T,3,0.6273327159999559
107,R3T,3,0.5981018703121708
108,R3T,3,0.7480868798035085
109,R3T,3,0.6465858217012406
110,R3T,3,0.9420600779808319
111,R3T,3,0.7507145743812604
112,R3T,3,0.7339753758285945
113,R3T,3,0.6449757010149095
114,R3T,3,0.5942900415205434
115,R3T,3,0.7637528107223996
116,R3T,3,0.6791733899179203
117,R3T,3,0.731768511684282
118,R3T,3,0.7353709994701726
119,R3T,3,0.7268820856833365
120,R3T,4,0.5589364481803177
121,R3T,4,0.5310665004610592
122,R3T,4,0.6076757344941787
123,R3T,4,0.5903723838751462
124,R3T,4,0.6402569554251141
125,R3T,4,0.5608163664289103
126,R3T,4,0.6102829429537907
127,R3T,4,0.5956858601609635
128,R3T,4,0.5603160165592783
129,R3T,4,0.6128329835874842
130,R3T,4,0.5948603311887316
131,R3T,4,0.6753783023795072
132,R3T,4,0.5842775955177744
133,R3T,4,0.5931435406178946
134,R3T,4,0.5397474318822058
135,R3T,4,0.6042374789935849
136,R3T,4,0.6270291389889171
137,R3T,4,0.5934254715261101
138,R3T,4,0.5702620797023502
139,R3T,4,0.6078253580428074
140,R3T,4,0.6301867838742605
141,R3T,4,0.6008948691510617
142,R3T,4,0.6424489550116446
143,R3T,4,0.5741096442325877
144,R3T,4,0.577231997429137
145,R3T,4,0.607081043082442
146,R3T,4,0.5593765680419899
147,R3T,4,0.5446104731786682
148,R3T,4,0.6254848144902855
149,R3T,4,0.6646687451883934
150,R3T_old,0,0.5598637044039105
151,R3T_old,0,0.6196408907638615
152,R3T_old,0,0.6242968567864049
153,R3T_old,0,0.5727057596560365
154,R3T_old,0,0.5958355182707636
155,R3T_old,0,0.5954109021524068
156,R3T_old,0,0.6261740890292916
157,R3T_old,0,0.6074417712581048
158,R3T_old,0,0.4729222810476486
159,R3T_old,0,0.5235535839761988
160,R3T_old,0,0.5640095488561719
161,R3T_old,0,0.4512037134300652
162,R3T_old,0,0.5478235573810865
163,R3T_old,0,0.5366049333115839
164,R3T_old,0,0.5793156337540676
165,R3T_old,0,0.5736329015996576
166,R3T_old,0,0.47379211351283446
167,R3T_old,0,0.4436114166755241
168,R3T_old,0,0.4702387635328159
169,R3T_old,0,0.5722598332882638
170,R3T_old,0,0.49786909548206937
171,R3T_old,0,2.0
172,R3T_old,0,0.5180969224811697
173,R3T_old,0,0.5780071671325789
174,R3T_old,0,0.470426329410022
175,R3T_old,0,2.0
176,R3T_old,0,0.49894495841365866
177,R3T_old,0,0.5959110444590489
178,R3T_old,0,0.5743740801750534
179,R3T_old,0,0.6868104029781977
180,R3T_old,1,0.7889912631015498
181,R3T_old,1,0.8236062586393492
182,R3T_old,1,0.6306842180058275
183,R3T_old,1,0.7025017930045787
184,R3T_old,1,0.5967341366604596
185,R3T_old,1,0.7040660556861347
186,R3T_old,1,0.605646398488713
187,R3T_old,1,0.8157339752308097
188,R3T_old,1,0.7198042851449743
189,R3T_old,1,0.7373822382795577
190,R3T_old,1,0.8136179665258222
191,R3T_old,1,0.6752860718985086
192,R3T_old,1,0.6479669229939644
193,R3T_old,1,0.6972403900654605
194,R3T_old,1,0.7378479613724219
195,R3T_old,1,2.0
196,R3T_old,1,0.7322141490604221
197,R3T_old,1,0.7018498736994067
198,R3T_old,1,0.5958781113892694
199,R3T_old,1,2.0
200,R3T_old,1,0.6939052419022304
201,R3T_old,1,0.5861653724283185
202,R3T_old,1,0.7251054355908906
203,R3T_old,1,0.6187560242961325
204,R3T_old,1,0.6893777531223351
205,R3T_old,1,0.6746182592206981
206,R3T_old,1,0.7789570992460424
207,R3T_old,1,0.6947368323845203
208,R3T_old,1,0.6643684645885329
209,R3T_old,1,0.8365978196949146
210,R3T_old,2,0.5525384827595781
211,R3T_old,2,0.47552011441662045
212,R3T_old,2,0.5342086536924686
213,R3T_old,2,0.46832247633312113
214,R3T_old,2,0.511759909215525
215,R3T_old,2,0.5318152470556985
216,R3T_old,2,0.5580087695485637
217,R3T_old,2,0.6473687862291608
218,R3T_old,2,0.553917205645701
219,R3T_old,2,0.4905329617806159
220,R3T_old,2,0.5675360697280071
221,R3T_old,2,0.5000664609462325
222,R3T_old,2,0.45368696102234396
223,R3T_old,2,0.5635158881406941
224,R3T_old,2,0.5540262694193658
225,R3T_old,2,0.43389081336754964
226,R3T_old,2,0.5739805080596471
227,R3T_old,2,0.5701752452346922
228,R3T_old,2,0.45554362601168347
229,R3T_old,2,0.4554559115887033
230,R3T_old,2,0.5250770210390808
231,R3T_old,2,0.5650387206095715
232,R3T_old,2,0.5560714872725109
233,R3T_old,2,0.5617880089435631
234,R3T_old,2,0.5793865735143595
235,R3T_old,2,0.5706991410764156
236,R3T_old,2,0.6129114217105348
237,R3T_old,2,0.5306799784764139
238,R3T_old,2,0.5613685511533392
239,R3T_old,2,0.5929062664275784
240,R3T_old,3,2.0
241,R3T_old,3,0.5866867215998584
242,R3T_old,3,0.6055650243552921
243,R3T_old,3,0.5730010237696721
244,R3T_old,3,0.5679694988167551
245,R3T_old,3,0.7228026240115237
246,R3T_old,3,2.0
247,R3T_old,3,0.7044323709425359
248,R3T_old,3,0.6351592507550432
249,R3T_old,3,0.5960969073131754
250,R3T_old,3,0.7540054606767228
251,R3T_old,3,0.8646704318385774
252,R3T_old,3,0.5808919941456908
253,R3T_old,3,0.8489764617709552
254,R3T_old,3,0.7342140531129944
255,R3T_old,3,0.5406835610702947
256,R3T_old,3,0.6738779273098103
257,R3T_old,3,0.6330653730291883
258,R3T_old,3,0.6498692691875763
259,R3T_old,3,0.6484522384200954
260,R3T_old,3,0.6007615371538068
261,R3T_old,3,0.6743605912603952
262,R3T_old,3,0.6940658520160675
263,R3T_old,3,0.6777504903671483
264,R3T_old,3,0.7697945930288552
265,R3T_old,3,0.7101477407621624
266,R3T_old,3,0.6740543329587922
267,R3T_old,3,0.677785964299344
268,R3T_old,3,0.6168839396415933
269,R3T_old,3,0.7714027032496474
270,R3T_old,4,0.6122739465480364
271,R3T_old,4,0.6531598842912884
272,R3T_old,4,0.6151340661423869
273,R3T_old,4,0.5839625606720663
274,R3T_old,4,0.6919075046342186
275,R3T_old,4,0.5920904429616191
276,R3T_old,4,0.8978911369164422
277,R3T_old,4,0.5505464925417284
278,R3T_old,4,0.5455367446796245
279,R3T_old,4,0.5879862164487428
280,R3T_old,4,0.8191945513298934
281,R3T_old,4,0.7209885531496009
282,R3T_old,4,0.5996839726739897
283,R3T_old,4,0.5656270475885344
284,R3T_old,4,0.6540290566050591
285,R3T_old,4,0.546321135052008
286,R3T_old,4,0.5520694272896761
287,R3T_old,4,0.5184230601337156
288,R3T_old,4,0.5228741148027142
289,R3T_old,4,0.520095601938988
290,R3T_old,4,0.5546578018147252
291,R3T_old,4,0.5824974678534469
292,R3T_old,4,0.6111268924952591
293,R3T_old,4,0.6299617564542246
294,R3T_old,4,0.6139470994836623
295,R3T_old,4,0.6701427210088451
296,R3T_old,4,0.556422058381126
297,R3T_old,4,0.595627422296749
298,R3T_old,4,0.5431771736639252
299,R3T_old,4,0.5633477520388607
